srcid,Mode,A1,A2,undecided_voter,A3a,A4_a,A4_b,A4_c,A4_d,A4_e,A5_a,A5_b,A5_c,A5_d,A5_e,A5_f,A5_g,A5_h,B1_a,B1_b,B1_c,B1_d,B4,B5,B6,C1_a,C1_b,C1_c,C1_d,C1_e,C1_f,C1_g,C1_h,C1_i,C3_a,C3_b,C3_c,C3_d,C3_e,C3_f,D1_a,D1_b,D1_c,D1_d,D1_e,D1_f,E1_a,E1_b,E1_c,E1_d,E1_e,E1_f,E1_g,E1_h,E10,E14,p_volunteer,p_gender_sdc,p_age_group_sdc,p_education_sdc,p_state_sdc,StateMap,A4A5_agg,opinionated
1285,”2”,3,”4”,FALSE,6,2,2,2,2,1,3,2,2,3,3,4,4,3,2,2,2,2,2,2,4,2,1,1,1,1,2,2,2,2,1,2,1,2,1,1,4,3,4,3,3,1,2,2,2,2,1,1,2,2,4,3,2,”2”,3,,1,1,0.344444444,FALSE
1286,”1”,2,”4”,FALSE,7,2,2,2,1,1,3,3,2,3,4,5,3,4,2,2,2,2,3,3,5,1,1,1,2,2,1,2,1,2,1,1,1,1,1,2,2,1,2,3,1,1,1,2,2,2,2,2,2,2,1,1,2,”1”,2,1,3,3,0.466666667,FALSE
1287,”1”,2,”1”,FALSE,,2,2,2,2,2,2,4,2,4,3,3,4,2,2,2,2,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,4,4,4,3,3,2,1,2,2,2,2,2,1,-98,1,2,1,”2”,2,1,2,2,0.361111111,FALSE
1288,”1”,2,”1”,FALSE,8,3,2,2,2,2,2,3,2,4,3,4,2,2,2,2,2,1,3,2,5,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,1,2,2,1,1,1,2,2,2,2,2,1,2,1,1,1,”2”,3,1,1,1,0.361111111,FALSE
1289,”1”,2,”3”,FALSE,5,1,1,1,1,1,1,4,4,2,4,4,4,4,2,2,2,1,3,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,4,1,1,1,1,1,2,2,2,2,1,2,2,2,1,”2”,2,1,3,3,0.777777778,TRUE
1290,”1”,2,”3”,FALSE,,3,3,2,2,2,4,3,4,4,4,3,4,2,2,2,2,2,4,3,5,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,3,2,3,2,2,1,2,2,1,2,2,2,2,2,1,1,1,”2”,1,3,1,1,0.361111111,FALSE
1291,”1”,2,”1”,FALSE,8,2,2,2,2,2,3,2,3,3,3,2,3,3,2,2,2,1,3,1,4,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,5,5,5,5,3,4,1,2,2,2,2,2,1,1,1,2,2,”2”,2,2,2,2,0.25,FALSE
1292,”1”,2,”1”,FALSE,5,2,2,1,1,1,2,3,3,2,3,2,2,3,2,2,2,1,2,2,4,2,1,1,2,2,2,2,1,1,1,1,2,1,1,1,2,2,3,1,2,1,1,2,2,2,2,2,1,2,1,1,2,”1”,3,1,1,1,0.505555556,TRUE
1293,”1”,2,”1”,FALSE,7,2,2,1,1,1,2,3,3,2,3,2,4,3,2,2,2,1,3,2,4,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,3,3,2,2,1,1,2,2,2,2,2,1,2,2,4,2,1,”2”,3,1,1,1,0.505555556,TRUE
1294,”1”,2,”4”,FALSE,8,3,3,3,2,2,2,2,2,4,2,2,3,2,2,2,2,1,2,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,1,1,1,2,2,2,2,2,2,2,1,2,2,”2”,2,1,1,1,0.388888889,FALSE
1295,”1”,2,”3”,FALSE,8,2,2,2,2,1,2,3,3,4,3,2,4,3,2,2,1,1,3,3,4,2,1,1,2,2,1,1,2,1,1,1,2,1,1,1,2,2,2,3,1,1,2,2,2,2,2,2,1,2,7,1,1,”2”,2,3,1,1,0.372222222,FALSE
1296,”1”,5,”1”,FALSE,,2,1,2,2,1,2,3,4,3,4,1,3,3,2,2,2,1,3,1,5,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,1,2,2,2,2,2,1,2,1,3,1,”2”,2,2,1,1,0.494444444,FALSE
1297,”1”,1,”1”,FALSE,8,2,1,2,1,1,2,4,4,2,4,2,2,4,2,2,2,1,2,2,5,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1,2,1,3,1,1,1,1,2,2,2,2,2,2,2,1,1,2,”2”,2,1,1,1,0.644444444,TRUE
1298,”1”,2,”1”,FALSE,4,2,2,1,2,1,3,5,4,2,4,2,5,4,2,2,2,2,3,3,5,2,1,1,2,2,2,1,1,1,1,1,2,1,1,2,1,2,2,1,1,1,2,2,2,2,2,1,1,2,4,3,1,”1”,4,1,2,2,0.577777778,TRUE
1299,”1”,4,”3”,FALSE,,4,3,2,2,1,2,1,1,5,1,5,3,1,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,1,1,1,2,2,1,2,3,2,4,3,2,1,2,2,2,2,2,1,2,2,4,2,2,”1”,4,2,2,2,0.688888889,TRUE
1300,”1”,2,”4”,FALSE,8,2,2,2,1,1,1,1,2,4,2,2,2,2,2,2,2,1,3,2,4,2,1,1,2,2,2,1,1,2,1,2,2,2,1,2,2,1,1,1,1,1,2,2,2,1,2,1,1,2,2,3,2,”2”,4,3,2,2,0.605555556,TRUE
1301,”1”,2,”2”,FALSE,,2,2,3,1,1,3,2,5,2,3,2,3,4,2,2,2,1,3,2,5,2,1,1,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,1,1,-98,4,3,1,”1”,4,3,2,2,0.494444444,FALSE
1302,”1”,1,”1”,FALSE,,1,2,2,3,2,2,3,3,4,3,1,3,3,2,2,2,1,2,2,5,1,1,1,1,2,1,1,2,1,1,1,2,2,1,1,2,1,1,1,1,1,1,2,2,2,2,2,1,2,1,1,2,”2”,3,1,2,2,0.4,FALSE
1303,”1”,4,”4”,FALSE,2,2,2,2,1,1,2,4,4,2,5,4,4,4,2,2,2,1,3,2,5,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1,5,3,3,3,3,2,1,2,2,2,2,2,1,2,1,1,1,”2”,2,1,2,2,0.577777778,TRUE
1304,”1”,2,”11”,FALSE,5,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,3,4,2,1,1,1,1,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,2,”2”,3,2,1,1,0.361111111,FALSE
1305,”1”,1,”1”,FALSE,,2,2,3,1,1,2,4,4,3,4,4,3,4,2,2,2,2,3,2,5,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1,1,1,1,2,2,2,2,2,1,2,2,4,4,1,”1”,4,3,2,2,0.522222222,TRUE
1306,”1”,1,”4”,FALSE,,3,3,2,1,2,2,4,4,2,4,3,3,2,2,2,2,1,2,2,4,1,1,1,1,2,2,1,1,1,1,1,2,2,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,1,1,2,”2”,2,1,2,2,0.455555556,FALSE
1307,”2”,1,”1”,FALSE,,1,1,1,2,1,1,2,1,2,-98,1,5,5,2,2,2,2,4,4,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,2,1,2,2,2,2,2,1,2,2,”1”,4,,5,5,3.627777778,FALSE
1308,”1”,4,”3”,FALSE,2,3,3,2,4,3,4,4,2,4,4,4,3,2,2,2,2,1,3,2,5,2,1,1,2,2,2,1,1,1,1,2,1,2,1,1,1,3,4,4,4,5,1,2,2,2,2,2,2,2,1,1,2,”2”,2,1,5,5,0.455555556,FALSE
1309,”1”,2,”4”,FALSE,5,3,3,3,1,2,4,4,3,4,3,4,4,2,2,2,2,2,2,2,5,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,2,2,4,4,2,2,1,2,2,2,2,2,2,2,1,2,2,”2”,1,1,1,1,0.427777778,FALSE
1310,”1”,2,”3”,FALSE,6,2,2,3,3,3,3,2,3,3,3,2,3,3,2,2,2,1,3,3,4,1,1,1,1,1,-98,1,1,1,1,1,1,1,1,1,3,2,3,2,2,1,1,2,2,2,2,2,2,1,1,2,2,”2”,2,1,2,2,0.25,FALSE
1311,”1”,1,”3”,FALSE,,3,2,2,2,1,2,3,5,3,5,3,5,5,2,2,1,1,2,1,5,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,2,1,2,1,1,1,2,2,2,2,2,1,2,2,2,2,”2”,2,1,1,1,0.538888889,TRUE
1312,”2”,1,”1”,FALSE,10,2,3,2,1,1,2,4,2,4,4,2,3,2,2,2,2,1,3,1,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,3,4,1,1,1,2,2,2,2,2,1,2,2,-99,2,2,”1”,4,2,1,1,0.55,TRUE
1313,”1”,2,”3”,FALSE,8,2,1,2,1,1,2,3,4,3,5,4,2,3,2,2,2,2,3,3,5,2,1,1,1,2,2,2,2,2,1,2,2,1,1,2,1,1,1,1,1,1,2,2,2,2,2,1,2,2,8,1,1,”1”,4,,8,8,0.561111111,TRUE
1314,”1”,2,”2”,FALSE,8,1,2,2,2,2,2,4,3,3,4,2,4,4,2,2,2,1,4,1,4,2,1,1,1,2,2,2,1,1,1,2,2,1,1,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,4,2,1,”2”,4,3,1,1,0.427777778,FALSE
1315,”1”,2,”2”,FALSE,7,2,2,2,2,2,2,4,3,2,4,2,4,4,2,2,1,2,4,2,2,2,1,1,1,1,2,2,1,2,1,1,1,1,2,2,1,1,2,1,1,1,1,2,2,2,2,2,1,2,1,2,2,”1”,3,3,4,4,0.388888889,FALSE
1316,”1”,1,”1”,FALSE,,1,2,1,2,1,2,5,5,5,5,1,5,5,2,2,-98,1,3,2,5,1,1,1,2,2,2,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,2,2,2,2,2,1,2,-98,4,4,1,”1”,4,1,4,4,0.838888889,TRUE
1317,”1”,2,”11”,FALSE,9,2,2,2,2,2,3,3,3,3,3,2,3,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,4,1,1,”1”,3,2,2,2,0.222222222,FALSE
1318,”1”,1,”1”,FALSE,,2,3,2,1,2,2,3,3,3,4,2,2,3,2,2,2,2,3,3,4,2,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,1,1,1,2,2,2,2,2,1,2,2,4,1,2,”2”,4,3,2,2,0.4,FALSE
1319,”1”,1,”1”,FALSE,9,1,2,1,1,1,1,5,5,1,4,2,5,5,2,2,2,1,4,2,4,2,1,1,1,2,2,2,2,2,1,2,2,1,1,2,1,1,2,1,1,1,2,2,2,2,2,1,2,2,4,2,1,”2”,4,,6,6,0.877777778,TRUE
1320,”1”,2,”2”,FALSE,6,2,2,3,2,2,2,2,2,3,3,1,2,2,2,2,2,1,3,2,4,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,3,2,3,2,1,1,2,2,2,2,2,1,2,2,7,2,1,”2”,4,3,1,1,0.388888889,FALSE
1321,”1”,5,”13”,FALSE,,4,3,4,2,1,5,1,1,4,1,2,1,2,2,2,2,1,3,2,2,1,2,1,2,2,1,2,1,1,2,2,2,2,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,-98,3,2,1,”1”,4,2,1,1,0.783333333,TRUE
1322,”1”,2,”96”,FALSE,8,2,3,2,2,2,3,3,4,2,3,2,4,4,2,2,2,2,2,3,4,2,1,1,1,2,2,2,1,1,1,2,1,2,1,2,2,2,4,4,1,1,2,2,2,2,2,1,1,2,4,1,1,”2”,3,1,1,1,0.333333333,FALSE
1323,”1”,5,”4”,FALSE,3,4,3,3,3,4,2,4,1,4,2,5,4,2,2,2,2,1,2,2,1,2,1,1,1,2,2,2,1,2,1,1,1,2,2,1,3,1,2,1,1,1,2,2,2,1,1,2,1,2,4,4,1,”NaN”,2,1,4,4,0.633333333,TRUE
1324,”1”,2,”6”,FALSE,5,2,3,2,1,2,2,4,3,2,4,2,4,4,2,2,2,1,3,1,4,2,1,1,2,1,2,2,2,2,1,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,1,2,2,4,4,2,”1”,4,2,3,3,0.455555556,FALSE
1325,”1”,4,”4”,FALSE,2,4,2,2,1,2,1,2,5,5,5,5,2,1,2,2,1,1,3,2,5,2,2,1,1,2,2,1,2,2,1,2,1,1,1,1,4,3,3,2,1,1,2,2,2,1,2,2,2,1,5,2,2,”NaN”,1,1,2,2,0.716666667,TRUE
1326,”1”,2,”1”,FALSE,6,1,4,2,1,1,1,4,4,3,3,2,4,4,2,2,2,1,3,1,5,2,1,1,1,2,1,2,2,2,1,2,2,1,1,2,4,4,4,3,3,3,2,2,2,2,2,1,2,1,7,1,1,”1”,4,1,4,4,0.655555556,TRUE
1327,”1”,2,”4”,FALSE,8,2,2,1,3,3,2,4,3,3,4,4,2,2,2,2,2,1,3,1,5,1,1,1,2,2,2,2,1,2,1,2,2,2,1,2,2,3,1,2,3,4,1,2,2,2,2,2,1,2,3,1,1,”2”,3,1,5,5,0.427777778,FALSE
1328,”1”,4,”3”,FALSE,8,3,1,3,2,2,3,3,4,4,4,2,4,2,2,2,2,2,4,3,4,1,1,1,2,2,-99,1,2,-99,1,2,1,2,1,2,1,1,1,1,1,1,2,2,2,2,2,1,1,-99,1,2,1,”1”,4,1,5,5,0.427777778,FALSE
1329,”1”,4,”3”,FALSE,8,3,3,3,3,3,4,3,2,4,3,4,4,2,2,2,2,2,3,3,4,2,1,1,2,2,1,2,2,2,1,2,1,1,1,1,3,1,2,2,1,1,1,2,2,2,2,2,1,2,1,2,2,”2”,2,3,3,3,0.361111111,FALSE
1330,”1”,2,”1”,FALSE,4,2,2,1,1,1,1,3,4,3,4,1,4,4,2,2,2,1,3,2,5,2,1,1,1,2,2,2,1,2,1,2,1,1,1,1,4,3,4,4,3,1,2,2,2,1,2,2,2,2,1,3,2,”2”,2,2,4,4,0.616666667,TRUE
1331,”1”,2,”3”,FALSE,8,3,2,2,2,2,2,3,2,5,2,3,3,2,2,2,2,1,3,1,5,2,1,1,1,2,2,2,1,2,1,1,2,1,1,2,4,2,4,4,2,1,1,2,2,2,2,2,2,2,1,2,2,”1”,3,2,3,3,0.361111111,FALSE
1332,”1”,1,”3”,FALSE,10,2,2,2,1,1,2,4,4,2,4,2,2,4,2,2,2,2,3,3,4,2,1,1,1,1,2,2,2,1,1,2,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,1,2,2,4,2,2,”2”,4,2,2,2,0.577777778,TRUE
1333,”1”,2,”96”,FALSE,8,3,3,3,2,2,4,2,2,4,2,4,2,2,2,2,2,1,3,2,4,2,1,1,1,1,2,2,1,1,1,2,2,1,1,1,2,1,2,1,1,1,1,2,2,2,2,2,2,2,1,2,1,”1”,2,2,2,2,0.416666667,FALSE
1334,”1”,2,”96”,FALSE,7,3,3,3,2,2,4,3,2,4,2,3,1,1,2,2,2,1,2,2,5,2,1,1,1,2,2,2,2,2,1,2,2,1,1,2,2,1,2,1,1,1,2,2,2,2,2,1,1,1,7,2,1,”1”,3,3,4,4,0.416666667,FALSE
1335,”1”,2,”-99”,FALSE,,2,2,2,1,2,3,3,5,3,5,3,4,4,2,2,2,1,3,1,5,2,1,1,2,1,2,1,1,2,1,1,2,2,1,2,2,1,2,1,1,1,1,2,2,2,2,2,2,2,1,2,2,”1”,3,1,1,1,0.427777778,FALSE
1336,”1”,2,”-98”,TRUE,,2,2,3,2,2,3,3,3,3,4,4,3,3,2,2,2,1,2,1,5,2,1,1,2,2,1,1,2,2,1,1,2,2,1,2,3,1,2,1,1,1,1,2,2,2,2,2,2,2,1,2,1,”2”,,1,7,7,0.25,FALSE
1337,”1”,2,”1”,FALSE,7,2,2,2,2,2,2,4,4,2,4,3,4,4,2,2,1,2,2,3,4,1,1,1,2,-98,-98,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,”1”,3,1,2,2,0.388888889,FALSE
1338,”1”,2,”1”,FALSE,8,2,3,2,1,2,2,3,2,4,4,4,2,2,2,2,2,2,3,2,4,1,1,1,1,2,2,2,1,2,1,2,2,1,1,2,2,1,1,1,1,1,1,2,2,2,2,2,1,2,1,1,2,”1”,3,2,5,5,0.455555556,FALSE
1339,”2”,5,”11”,FALSE,0,3,3,3,4,3,2,2,2,5,2,1,1,2,2,2,2,1,2,2,5,2,1,1,2,1,2,2,2,2,1,1,2,2,1,2,4,4,2,4,2,1,2,2,2,2,2,1,1,2,4,2,2,”2”,4,2,2,2,0.594444444,TRUE
1340,”2”,1,”1”,FALSE,8,1,2,1,2,2,2,3,2,4,2,5,4,4,2,2,2,1,2,1,5,2,1,1,1,1,2,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,2,2,4,3,-98,”1”,4,,5,5,0.577777778,TRUE
1341,”1”,2,”1”,FALSE,8,2,3,3,1,2,2,4,3,3,4,3,4,4,2,2,2,1,3,3,4,2,1,1,-99,-99,2,1,1,1,1,2,2,1,1,2,2,1,3,1,1,1,2,2,2,2,2,1,2,2,4,2,1,”1”,4,2,3,3,0.4,FALSE
1342,”1”,2,”4”,FALSE,3,2,2,2,2,2,3,4,4,3,4,3,4,3,2,2,2,2,3,4,2,2,1,2,-99,-99,-99,-99,-99,1,1,1,2,2,2,2,2,2,2,3,3,3,1,2,2,2,2,2,2,-98,1,4,2,”2”,2,1,5,5,0.305555556,FALSE
1343,”1”,1,”1”,FALSE,,2,2,3,2,2,2,4,4,2,4,2,4,4,2,2,2,1,3,2,5,2,1,1,1,1,2,2,1,2,1,1,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,1,2,2,7,1,1,”2”,4,,2,2,0.444444444,FALSE
1344,”2”,2,”4”,FALSE,,3,2,2,2,2,3,2,2,4,3,3,2,2,2,2,2,1,2,5,4,2,1,1,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,2,2,2,2,2,1,1,1,4,1,1,”1”,4,3,2,2,0.333333333,FALSE
1345,”1”,2,”1”,FALSE,,2,3,2,2,2,3,2,2,4,3,1,3,3,2,2,2,1,2,2,4,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,2,2,2,2,2,1,2,1,3,2,”2”,3,1,4,4,0.333333333,FALSE
1346,”1”,1,”1”,FALSE,,2,2,2,2,1,2,3,4,4,4,2,4,4,2,2,2,1,2,1,4,2,1,1,1,2,1,2,2,1,1,2,1,2,1,2,2,2,4,2,1,1,1,2,2,2,2,2,1,2,1,2,1,”2”,3,1,2,2,0.483333333,FALSE
1347,”1”,2,”1”,FALSE,5,2,2,2,1,2,3,3,3,4,4,2,4,4,2,2,2,1,3,2,4,2,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,3,3,3,1,1,2,2,2,1,2,2,1,1,5,2,2,”2”,3,3,3,3,0.4,FALSE
1348,”1”,4,”11”,FALSE,5,2,2,2,2,1,3,2,3,4,2,2,2,2,2,2,2,2,2,2,4,2,1,1,2,2,2,2,2,1,2,1,2,2,1,2,2,1,3,3,2,2,1,2,2,2,2,2,1,-98,1,1,2,”1”,3,3,3,3,0.427777778,FALSE
1349,”2”,1,”2”,FALSE,7,1,3,2,1,2,2,3,2,2,4,1,4,3,2,2,2,2,3,3,4,-98,1,1,1,1,2,2,1,2,1,1,2,1,1,1,1,1,2,1,1,1,2,2,2,2,1,1,2,2,4,2,1,”1”,4,2,1,1,0.55,TRUE
1350,”1”,4,”6”,FALSE,9,3,3,3,2,2,1,2,2,4,2,2,4,3,2,2,2,1,2,1,4,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,1,2,1,1,1,2,2,2,2,2,1,1,-99,7,1,2,”1”,4,3,3,3,0.416666667,FALSE
1351,”1”,4,”96”,FALSE,,3,2,2,2,2,2,2,3,3,3,2,3,2,2,2,2,2,2,2,5,1,1,1,2,1,2,2,1,1,1,1,2,2,1,2,1,1,3,1,1,1,1,2,2,2,2,1,1,2,7,2,1,”1”,4,1,3,3,0.305555556,FALSE
1352,”1”,2,”1”,FALSE,6,3,2,3,2,2,4,4,2,4,2,3,2,3,2,2,2,2,2,2,4,1,1,1,2,1,-98,2,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,2,2,2,2,1,2,2,7,1,1,”2”,4,1,2,2,0.361111111,FALSE
1353,”1”,1,”1”,FALSE,8,2,3,2,2,3,2,2,3,2,4,1,2,3,2,2,2,1,2,1,4,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,1,1,1,2,2,2,2,2,1,2,2,1,1,2,”2”,3,3,1,1,0.416666667,FALSE
1354,”1”,2,”1”,FALSE,8,2,2,2,2,2,3,3,4,2,4,4,3,4,2,2,2,2,3,2,4,-99,1,1,-99,-99,-99,2,1,2,1,2,1,2,2,2,3,1,1,1,1,1,2,2,2,2,2,1,1,-99,8,1,1,”2”,4,3,5,5,0.333333333,FALSE
1355,”1”,4,”6”,FALSE,4,2,2,3,2,3,2,4,3,4,3,2,2,4,2,2,2,2,3,3,2,2,1,1,2,2,2,2,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,8,2,2,”1”,3,2,3,3,0.361111111,FALSE
1356,”2”,4,”11”,FALSE,5,3,3,3,2,2,2,2,1,4,2,2,3,1,2,2,2,2,4,3,1,2,1,1,2,2,2,2,1,2,2,1,2,1,1,2,2,2,5,4,2,2,2,2,2,2,2,1,1,1,4,2,2,”2”,4,3,2,2,0.444444444,FALSE
1357,”1”,2,”1”,FALSE,10,2,2,2,2,2,2,2,3,4,3,4,3,4,2,2,2,2,3,3,4,2,1,1,2,2,2,2,2,2,1,1,2,1,1,2,1,1,1,1,1,1,2,2,2,2,2,1,2,2,4,1,1,”1”,4,1,4,4,0.333333333,FALSE
1358,”1”,2,”1”,FALSE,,2,2,2,2,1,2,3,2,2,4,3,3,4,2,2,2,2,2,2,5,2,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,3,2,2,1,1,1,2,2,2,2,2,2,2,2,4,2,”1”,3,3,2,2,0.4,FALSE
1359,”1”,2,”1”,FALSE,8,3,3,3,2,2,3,3,3,4,3,2,2,3,2,2,2,1,2,1,5,2,1,1,2,1,2,2,1,1,2,2,2,1,1,2,3,1,3,1,1,1,1,2,2,2,2,2,2,2,1,2,1,”1”,3,2,5,5,0.277777778,FALSE
1360,”1”,2,”13”,FALSE,7,2,2,3,2,2,2,2,2,3,5,4,4,4,2,2,2,1,2,2,4,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,3,2,3,2,1,1,1,2,2,2,2,2,1,2,1,2,2,”1”,2,1,1,1,0.416666667,FALSE
1361,”1”,2,”3”,FALSE,7,3,3,3,2,2,3,3,3,3,2,4,4,4,2,2,2,1,3,2,4,2,1,1,2,1,2,2,2,2,1,1,1,1,1,1,2,3,3,3,2,3,1,2,2,2,2,2,2,-98,1,2,2,”2”,4,3,5,5,0.305555556,FALSE
1362,”1”,2,”3”,FALSE,7,2,2,3,1,2,2,3,2,3,2,4,4,2,2,2,2,1,3,2,5,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,2,2,2,2,1,1,1,4,2,1,”1”,4,2,1,1,0.427777778,FALSE
1363,”1”,1,”4”,FALSE,9,2,2,2,2,2,1,2,4,2,4,4,4,4,2,2,2,1,2,2,5,2,1,1,2,2,2,1,2,2,1,1,1,1,1,2,2,1,2,1,1,1,2,2,2,2,2,1,1,2,1,1,1,”2”,3,1,1,1,0.472222222,FALSE
1364,”2”,1,”1”,FALSE,10,2,2,2,3,2,1,2,4,2,5,1,2,4,2,2,2,2,3,3,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,2,2,2,2,1,1,2,7,2,1,”1”,4,,1,1,0.527777778,TRUE
1365,”1”,4,”2”,FALSE,4,2,3,2,3,3,2,3,3,3,4,2,4,3,2,2,2,2,3,2,4,2,1,1,1,1,2,2,2,2,2,2,2,2,1,2,3,1,3,3,3,2,2,2,2,2,2,1,2,2,8,1,1,”2”,4,3,1,1,0.305555556,FALSE
1366,”2”,2,”2”,FALSE,,1,3,3,2,2,2,2,3,3,3,4,4,4,2,2,2,2,3,3,4,2,2,1,1,1,2,2,2,2,1,1,2,1,1,2,1,1,4,1,3,1,2,2,2,2,2,1,2,1,4,2,1,”2”,4,,2,2,0.4,FALSE
1367,”1”,2,”3”,FALSE,2,3,3,3,3,2,3,2,3,4,4,2,2,2,2,2,2,1,2,1,4,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,4,4,4,4,4,4,1,2,2,2,2,2,2,2,1,3,2,”2”,1,3,3,3,0.361111111,FALSE
1368,”1”,1,”3”,FALSE,,3,1,1,2,1,2,3,4,3,4,2,4,4,2,2,2,2,3,2,5,1,1,1,2,1,2,2,1,2,1,1,2,1,2,2,1,1,1,1,1,1,2,2,2,2,2,1,2,2,7,1,1,”1”,4,1,5,5,0.588888889,TRUE
1369,”1”,2,”2”,FALSE,8,2,3,2,1,2,2,4,4,2,4,2,5,4,2,2,2,1,3,3,5,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,1,2,1,1,1,”1”,4,3,1,1,0.511111111,TRUE
1370,”1”,4,”3”,FALSE,4,2,4,2,2,2,4,4,4,4,4,5,5,4,2,2,2,1,3,2,2,2,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,”1”,3,1,2,2,0.538888889,TRUE
1371,”1”,2,”3”,FALSE,5,1,1,1,1,1,3,3,4,2,4,3,4,4,2,2,2,1,2,1,5,2,1,1,2,2,2,2,2,2,1,2,2,1,1,2,3,4,2,2,3,1,2,2,2,2,1,2,1,2,4,3,2,”1”,3,3,2,2,0.666666667,TRUE
1372,”1”,2,”2”,FALSE,8,2,2,2,2,1,2,3,4,2,5,3,4,3,2,2,2,2,2,1,4,2,2,2,2,2,2,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,2,2,2,2,2,2,2,1,1,2,”1”,3,1,5,5,0.427777778,FALSE
1373,”1”,1,”3”,FALSE,,2,2,1,2,1,1,3,3,2,3,4,3,3,2,2,1,2,3,2,4,1,1,1,2,2,2,2,2,2,1,1,2,2,1,2,2,1,2,1,1,1,1,2,2,2,2,2,2,2,1,1,2,”2”,4,1,1,1,0.466666667,FALSE
1374,”1”,2,”1”,FALSE,,2,2,2,2,2,2,3,4,2,5,4,5,4,2,2,2,1,3,1,5,1,1,1,1,2,2,1,1,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,1,1,2,4,3,2,”1”,4,2,4,4,0.444444444,FALSE
1375,”1”,2,”96”,FALSE,7,3,2,3,2,2,2,3,2,5,2,2,4,2,2,2,2,2,3,2,5,1,1,1,1,2,2,1,1,2,1,1,1,2,1,1,3,3,2,2,2,2,1,1,2,2,2,2,2,2,1,1,1,”2”,3,2,1,1,0.416666667,FALSE
1376,”1”,2,”1”,FALSE,8,2,2,1,2,2,2,4,4,2,4,4,4,4,2,2,2,2,3,3,4,2,1,1,1,1,2,2,1,1,1,2,2,1,1,2,2,1,1,2,1,1,2,2,2,2,2,1,1,2,4,2,1,”2”,4,2,4,4,0.483333333,FALSE
1377,”1”,1,”1”,FALSE,7,2,2,2,2,2,3,3,4,2,4,4,4,3,2,2,2,2,1,2,4,2,1,1,1,2,2,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,”2”,3,2,5,5,0.361111111,FALSE
